SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
6550,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL SOL,55767,20,22,82,TECAMAC
6551,URBANO(A),COLONIA,CERRITOS,55765,20,22,82,TECAMAC
6551,URBANO(A),FRACCIONAMIENTO,COLINAS DE OJO DE AGUA,55760,20,22,82,TECAMAC
6551,URBANO(A),FRACCIONAMIENTO,PASEOS DEL BOSQUE 2,55767,20,22,82,TECAMAC
6551,URBANO(A),FRACCIONAMIENTO,QUINTA VERSALLES,55667,20,22,82,TECAMAC
6551,URBANO(A),COLONIA,REAL ALCAL,55767,20,22,82,TECAMAC
6551,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL SOL,55767,20,22,82,TECAMAC
6551,URBANO(A),FRACCIONAMIENTO,REAL FIRENZE,55767,20,22,82,TECAMAC
6551,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6552,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6553,URBANO(A),FRACCIONAMIENTO,REAL FIRENZE,55767,20,22,82,TECAMAC
6554,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6555,URBANO(A),FRACCIONAMIENTO,BOSQUES DE LOS HEROES,55767,20,22,82,TECAMAC
6555,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6556,URBANO(A),FRACCIONAMIENTO,PASEOS DEL BOSQUE 2,55767,20,22,82,TECAMAC
6556,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6557,URBANO(A),CONJUNTO HABITACIONAL,VALLE SAN PEDRO,55767,20,22,82,TECAMAC
6558,URBANO(A),COLONIA,CERRITOS,55765,20,22,82,TECAMAC
6558,URBANO(A),FRACCIONAMIENTO,PASEOS DEL BOSQUE 2,55767,20,22,82,TECAMAC
6558,URBANO(A),FRACCIONAMIENTO,QUINTA VERSALLES,55667,20,22,82,TECAMAC
6558,URBANO(A),CONJUNTO HABITACIONAL,REAL ALCAZAR,55765,20,22,82,TECAMAC
6558,URBANO(A),CONJUNTO HABITACIONAL,REAL VERONA,55767,20,22,82,TECAMAC
6559,URBANO(A),FRACCIONAMIENTO,CERRITOS,55765,20,22,82,TECAMAC
6559,URBANO(A),COLONIA,CERRITOS,55765,20,22,82,TECAMAC
6559,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL CID,55770,20,22,82,TECAMAC
6560,URBANO(A),CONJUNTO HABITACIONAL,REAL VERONA,55767,20,22,82,TECAMAC
6561,URBANO(A),CONJUNTO HABITACIONAL,REAL VERONA,55767,20,22,82,TECAMAC
6562,URBANO(A),CONJUNTO HABITACIONAL,REAL VERONA,55767,20,22,82,TECAMAC
6563,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL CID,55770,20,22,82,TECAMAC
6564,URBANO(A),CONJUNTO HABITACIONAL,REAL VERONA,55767,20,22,82,TECAMAC
6565,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL CID,55770,20,22,82,TECAMAC
6566,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC OZUMBILLA,55764,20,22,82,TECAMAC
6566,URBANO(A),CONJUNTO HABITACIONAL,PUNTA PALERMO,55767,20,22,82,TECAMAC
6567,URBANO(A),CONJUNTO HABITACIONAL,REAL DEL CID,55770,20,22,82,TECAMAC
6568,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC OZUMBILLA,55764,20,22,82,TECAMAC
6569,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6569,URBANO(A),COLONIA,NUEVO PARAISO,55764,20,22,82,TECAMAC
