SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
7021,URBANO(A),COLONIA,AMPLIACION CUAUHTEMOC,55760,5,33,82,TECAMAC
7021,URBANO(A),COLONIA,CUAUHTEMOC,55768,5,33,82,TECAMAC
7021,URBANO(A),COLONIA,LOMAS DE OZUMBILLA,55768,5,33,82,TECAMAC
7021,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 4TA SECC,55749,5,33,82,TECAMAC
7021,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 5TA SECC,55749,5,33,82,TECAMAC
7022,URBANO(A),FRACCIONAMIENTO,EL MAGUEYAL,55748,5,33,82,TECAMAC
7022,URBANO(A),COLONIA,TEXCALTITLA,55760,5,33,82,TECAMAC
7022,URBANO(A),CONJUNTO HABITACIONAL,URBANO LAS FLORES,55760,5,33,82,TECAMAC
7022,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 4TA SECC,55749,5,33,82,TECAMAC
7022,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 5TA SECC,55749,5,33,82,TECAMAC
7023,URBANO(A),FRACCIONAMIENTO,EL MAGUEYAL,55748,5,33,82,TECAMAC
7023,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 4TA SECC,55749,5,33,82,TECAMAC
7023,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 5TA SECC,55749,5,33,82,TECAMAC
7023,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 6TA SECC,55749,5,33,82,TECAMAC
7024,URBANO(A),FRACCIONAMIENTO,EL MAGUEYAL,55748,5,33,82,TECAMAC
7024,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 5TA SECC,55749,5,33,82,TECAMAC
7024,URBANO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 6TA SECC,55749,5,33,82,TECAMAC
7046,URBANO(A),FRACCIONAMIENTO,MONTECARLO,55749,5,33,82,TECAMAC
7047,URBANO(A),AMPLIACION,DEL CASTILLO,55749,5,33,82,TECAMAC
7047,URBANO(A),COLONIA,DEL CASTILLO,55749,5,33,82,TECAMAC
7047,URBANO(A),COLONIA,ELECTRICISTAS,55749,5,33,82,TECAMAC
7047,URBANO(A),COLONIA,IXOTITLA,55749,5,33,82,TECAMAC
7047,URBANO(A),FRACCIONAMIENTO,MONTECARLO,55749,5,33,82,TECAMAC
7047,URBANO(A),COLONIA,NUEVA SANTA MARIA,55749,5,33,82,TECAMAC
7047,URBANO(A),COLONIA,VISTA HERMOSA,55749,5,33,82,TECAMAC
7048,URBANO(A),COLONIA,IXOTITLA,55749,5,33,82,TECAMAC
7048,URBANO(A),FRACCIONAMIENTO,MONTECARLO,55749,5,33,82,TECAMAC
7048,URBANO(A),EJIDO,SAN MIGUEL,55749,5,33,82,TECAMAC
7048,URBANO(A),COLONIA,VISTA HERMOSA,55749,5,33,82,TECAMAC
7049,URBANO(A),COLONIA,LA NOPALERA,55749,5,33,82,TECAMAC
7049,URBANO(A),FRACCIONAMIENTO,LOS CIPRECES,55740,5,33,82,TECAMAC
7049,URBANO(A),COLONIA,NUEVA SANTA MARIA,55749,5,33,82,TECAMAC
7049,URBANO(A),FRACCIONAMIENTO,SAN FRANCISCO TECAMAC,55740,5,33,82,TECAMAC
7049,URBANO(A),COLONIA,VISTA HERMOSA,55749,5,33,82,TECAMAC
7050,MIXTO(A),CONJUNTO HABITACIONAL,LAS FUENTES,55740,5,33,82,TECAMAC
7050,MIXTO(A),CONJUNTO HABITACIONAL,RANCHO LA CAPILLA ( SANTA CRUZ TECAMAC ),55746,5,33,82,TECAMAC
7051,URBANO(A),CONJUNTO HABITACIONAL,LAS FUENTES,55740,5,33,82,TECAMAC
7051,URBANO(A),CONJUNTO HABITACIONAL,RANCHO LA CAPILLA ( SANTA CRUZ TECAMAC ),55746,5,33,82,TECAMAC
7052,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
7052,URBANO(A),CONJUNTO HABITACIONAL,LA CAÑADA,55740,5,33,82,TECAMAC
7052,URBANO(A),COLONIA,LA MOJONERA,55740,5,33,82,TECAMAC
7052,URBANO(A),COLONIA,LA NOPALERA,55749,5,33,82,TECAMAC
7052,URBANO(A),COLONIA,VISTA HERMOSA,55749,5,33,82,TECAMAC
7053,URBANO(A),CONJUNTO HABITACIONAL,LAS FUENTES,55740,5,33,82,TECAMAC
7053,URBANO(A),CONJUNTO HABITACIONAL,RANCHO LA CAPILLA ( SANTA CRUZ TECAMAC ),55746,5,33,82,TECAMAC
7054,URBANO(A),COLONIA,AMPLIACION SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7054,URBANO(A),COLONIA,HACIENDA DEL BOSQUE,55743,5,33,82,TECAMAC
